group,seawater,freshwater,area
hykd,3,0,1025.438
hykd,3,0,1172.741
hykd,3,0,814.832
hykd,3,0,1146.364
hykd,3,0,770.195
hykd,3,0,1181.668
hykd,3,0,1154.48
hykd,3,0,1171.929
hykd,3,0,998.859
hykd,1,0,1557.014
hykd,1,0,795.206
hykd,1,0,1087.754
hykd,1,0,1521.502
hykd,1,0,1128.338
hykd,1,0,1330.416
hykd,1,0,1130.029
hykd,1,0,784.214
hykd,1,0,893.708
hykd,1,0,1550.673
hykd,1,0,945.285
hykd,1,0,996.957
hykd,1,0,902.721
hykd,1,0,1023.657
hykd,1,0,885.681
hykd,1,0,1700.723
hykd,1,0,1098.425
hykd,1,0,1196.214
hykd,1,0,709.446
hykd,1,0,1208.174
hykd,0,3,2198.073
hykd,0,3,1516.531
hykd,0,3,1703.448
hykd,0,3,1646.146
hykd,0,3,1825.051
hykd,0,3,1737.525
hykd,0,3,1912.576
hykd,0,3,1702.637
hykd,0,3,1866.531
hykd,0,3,1375.152
hykd,0,3,2063.185
hykd,0,3,2053.144
hykd,0,3,1558.316
hykd,0,3,1556.491
hykd,0,3,1600.609
hykd,0,3,2167.951
hykd,0,3,1779.31
hykd,0,3,1908.316
hykd,0,3,2250.203
hykd,0,3,1796.045
hykd,0,2,1308.215
hykd,0,2,1289.655
hykd,0,2,1520.943
hykd,0,2,1560.497
hykd,0,2,931.085
hykd,0,2,1195.132
hykd,0,2,1351.42
hykd,0,2,1255.325
hykd,0,2,811.815
hykd,0,2,934.077
hykd,0,2,1252.738
hykd,0,2,1014.604
hykd,0,2,1344.701
hykd,0,2,1314.757
hykd,0,2,891.43
hykd,0,2,1343.966
hykd,0,2,958.215
hykd,0,2,1253.245
hykd,0,2,834.28
hykd,0,2,1107.911
hykd,0,2,1154.564
hykd,0,2,1100.913
hykd,0,2,1676.623
hykd,0,2,916.836
hykd,0,2,1023.732
hykd,2,0,823.623
hykd,2,0,751.975
hykd,2,0,1074.277
hykd,2,0,1104.849
hykd,2,0,537.865
hykd,2,0,756.441
hykd,2,0,981.953
hykd,2,0,952.913
hykd,2,0,684.661
hykd,2,0,818.444
hykd,2,0,947.721
hykd,2,0,862.254
hykd,2,0,1078.425
hykd,2,0,1332.831
hykd,2,0,602.246
hykd,2,0,726.41
hykd,2,0,835.487
hykd,2,0,705.589
hykd,2,0,962.241
hykd,2,0,635.83
hykd,0,0,1358.728
hykd,0,0,1515.169
hykd,0,0,1257.219
hykd,0,0,1011.184
